"Id";"ActivityDate";"TotalSteps";"SedentaryMinutes";"VeryActiveMinutes";"Calories";"TotalMinutesAsleep";"TotalSleepRecords";"TotalTimeInBed"
1927972279;"2016-04-15";980;941;0;2221;475;2;499
1927972279;"2016-04-26";3761;1058;0;2638;296;1;315
1927972279;"2016-04-28";1675;1167;0;2351;166;1;178
2026352035;"2016-04-12";4414;706;3;1459;503;1;546
2026352035;"2016-04-13";4993;663;0;1521;531;1;565
2026352035;"2016-04-14";3335;653;0;1431;545;1;568
2026352035;"2016-04-15";3821;687;0;1444;523;1;573
2026352035;"2016-04-16";2547;728;0;1373;524;1;567
2026352035;"2016-04-17";838;1053;0;1214;437;1;498
2026352035;"2016-04-19";2424;785;0;1356;498;1;540
2026352035;"2016-04-20";7222;623;0;1667;461;1;510
2026352035;"2016-04-21";2467;749;0;1370;477;1;514
2026352035;"2016-04-22";2915;712;0;1399;520;1;545
2026352035;"2016-04-23";12357;458;0;1916;522;1;554
2026352035;"2016-04-24";3490;704;0;1401;555;1;591
2026352035;"2016-04-25";6017;821;0;1576;506;1;531
2026352035;"2016-04-27";6088;586;0;1593;508;1;545
2026352035;"2016-04-28";6375;626;0;1649;513;1;545
2026352035;"2016-04-29";7604;492;0;1692;490;1;510
2026352035;"2016-04-30";4729;594;0;1506;573;1;607
2026352035;"2016-05-01";3609;716;0;1447;527;1;546
2026352035;"2016-05-02";7018;716;0;1690;511;1;543
2026352035;"2016-05-04";6564;530;0;1658;538;1;560
2026352035;"2016-05-05";12167;479;0;1926;468;1;485
2026352035;"2016-05-06";8198;511;0;1736;524;1;548
2026352035;"2016-05-07";4193;665;0;1491;511;1;521
2026352035;"2016-05-08";5528;610;0;1555;541;1;568
2026352035;"2016-05-09";10685;543;0;1869;531;1;556
2026352035;"2016-05-10";254;1002;0;1141;357;1;380
2026352035;"2016-05-11";8580;569;0;1698;523;1;553
2026352035;"2016-05-12";8891;330;0;1364;456;1;485
2320127002;"2016-04-23";5079;1129;0;1804;61;1;69
2347167796;"2016-04-13";10352;676;19;2038;467;1;531
2347167796;"2016-04-14";10129;705;1;2010;445;1;489
2347167796;"2016-04-15";10465;720;1;2133;452;1;504
2347167796;"2016-04-17";5472;508;1;1882;556;1;602
2347167796;"2016-04-18";8247;678;11;1944;500;1;557
2347167796;"2016-04-19";6711;648;0;2346;465;1;514
2347167796;"2016-04-21";10080;761;23;2048;460;1;484
2347167796;"2016-04-22";7804;781;9;1946;405;1;461
2347167796;"2016-04-23";16901;591;32;2629;374;1;386
2347167796;"2016-04-24";9471;584;0;2187;442;1;459
2347167796;"2016-04-25";9482;653;15;2095;433;1;471
2347167796;"2016-04-26";5980;732;0;1861;436;1;490
2347167796;"2016-04-27";11423;623;26;2194;448;1;499
2347167796;"2016-04-28";5439;764;0;1854;408;1;450
2347167796;"2016-04-29";42;2;0;403;411;1;473
3977333714;"2016-04-12";8856;777;44;1450;274;1;469
3977333714;"2016-04-13";10035;754;31;1495;295;2;456
3977333714;"2016-04-14";7641;801;5;1433;291;1;397
3977333714;"2016-04-15";9010;644;15;1468;424;1;556
3977333714;"2016-04-16";13459;663;31;1625;283;1;510
3977333714;"2016-04-17";10415;600;11;1529;381;1;566
3977333714;"2016-04-18";11663;605;4;1584;412;2;522
3977333714;"2016-04-19";12414;738;19;1638;219;1;395
3977333714;"2016-04-20";11658;845;2;1554;152;2;305
3977333714;"2016-04-21";6093;712;0;1397;332;1;512
3977333714;"2016-04-22";8911;731;33;1481;355;1;476
3977333714;"2016-04-23";12058;724;0;1638;235;1;372
3977333714;"2016-04-24";14112;660;30;1655;310;1;526
3977333714;"2016-04-25";11177;781;50;1570;262;1;467
3977333714;"2016-04-26";11388;797;7;1551;250;1;371
3977333714;"2016-04-27";7193;714;0;1377;349;1;540
3977333714;"2016-04-28";7114;804;15;1407;261;1;423
3977333714;"2016-04-29";10645;744;36;1545;333;1;478
3977333714;"2016-04-30";13238;687;43;1650;237;1;382
3977333714;"2016-05-01";10414;691;41;1501;383;1;626
3977333714;"2016-05-02";16520;713;24;1760;230;1;384
3977333714;"2016-05-03";14335;594;47;1710;292;1;500
3977333714;"2016-05-04";13559;852;14;1628;213;1;336
3977333714;"2016-05-05";12312;680;14;1618;318;1;480
3977333714;"2016-05-06";11677;676;29;1590;323;1;512
3977333714;"2016-05-07";11550;703;0;1574;237;1;443
3977333714;"2016-05-08";13585;688;9;1633;259;2;456
3977333714;"2016-05-10";13072;676;1;1630;312;1;452
4020332650;"2016-04-12";8539;712;4;3654;501;1;541
4020332650;"2016-04-16";1982;1222;65;3051;77;1;77
4020332650;"2016-05-03";4496;950;0;2828;322;1;332
4020332650;"2016-05-04";10252;531;13;3879;478;1;536
4020332650;"2016-05-05";11728;916;38;3429;226;1;248
4020332650;"2016-05-06";4369;855;0;2704;385;1;408
4020332650;"2016-05-08";5862;775;0;3089;364;1;402
4020332650;"2016-05-10";5546;774;0;2926;442;1;494
4319703577;"2016-04-14";10210;589;1;2302;535;1;557
4319703577;"2016-04-15";5664;752;0;1985;465;1;491
4319703577;"2016-04-16";4744;724;0;1884;506;1;522
4319703577;"2016-04-18";2276;824;1;1632;515;1;551
4319703577;"2016-04-19";8925;604;0;2200;461;2;498
4319703577;"2016-04-20";8954;671;0;2220;523;1;543
4319703577;"2016-04-21";3702;1265;0;1792;59;1;65
4319703577;"2016-04-22";4500;709;1;1886;533;1;550
4319703577;"2016-04-23";4935;546;0;1945;692;1;722
4319703577;"2016-04-24";4081;692;1;1880;467;1;501
4319703577;"2016-04-25";9259;544;0;2314;488;1;506
4319703577;"2016-04-26";9899;649;8;2236;505;1;516
4319703577;"2016-04-27";10780;680;6;2324;286;1;307
4319703577;"2016-04-28";10817;552;13;2367;497;1;522
4319703577;"2016-04-29";7990;624;6;2175;523;1;546
4319703577;"2016-04-30";8221;695;6;2092;490;1;516
4319703577;"2016-05-01";1251;836;0;1593;484;1;500
4319703577;"2016-05-02";9261;585;0;2270;478;1;506
4319703577;"2016-05-03";9648;669;8;2235;474;1;512
4319703577;"2016-05-06";9524;692;6;2266;450;1;491
4319703577;"2016-05-07";7937;586;3;2158;507;1;530
4319703577;"2016-05-08";3672;603;0;1792;602;1;638
4319703577;"2016-05-09";10378;490;2;2345;535;1;565
4319703577;"2016-05-10";9487;555;3;2260;487;1;517
4319703577;"2016-05-11";9129;574;3;2232;529;1;558
4319703577;"2016-05-12";17;0;0;257;302;1;321
4388161847;"2016-04-15";8758;837;0;3066;499;1;526
4388161847;"2016-04-16";6580;609;6;3073;426;2;448
4388161847;"2016-04-17";4660;721;0;2572;619;2;641
4388161847;"2016-04-18";11009;1017;27;3274;99;1;104
4388161847;"2016-04-19";10181;704;20;3015;329;1;338
4388161847;"2016-04-20";10553;696;19;3083;421;1;451
4388161847;"2016-04-21";10055;853;7;3069;442;1;458
4388161847;"2016-04-22";12139;945;77;3544;82;1;85
4388161847;"2016-04-23";13236;749;58;3306;478;1;501
4388161847;"2016-04-24";10243;584;14;2885;552;3;595
4388161847;"2016-04-26";9461;673;14;2929;319;1;346
4388161847;"2016-04-27";11193;684;11;3074;439;1;500
4388161847;"2016-04-28";10074;878;19;2969;428;1;458
4388161847;"2016-04-30";12533;537;14;3283;409;2;430
4388161847;"2016-05-01";10255;579;12;2926;547;1;597
4388161847;"2016-05-02";10096;935;33;3147;368;2;376
4388161847;"2016-05-04";12375;632;35;3162;390;1;414
4388161847;"2016-05-05";9603;896;12;2899;471;1;495
4388161847;"2016-05-07";22770;508;120;4022;472;1;496
4388161847;"2016-05-08";17298;576;107;3934;529;2;541
4388161847;"2016-05-09";10218;1020;6;3013;62;1;65
4388161847;"2016-05-10";10299;648;13;3061;354;1;375
4388161847;"2016-05-11";10201;858;8;2954;469;1;494
4445114986;"2016-04-12";3276;787;0;2113;429;2;457
4445114986;"2016-04-13";2961;840;0;2095;370;2;406
4445114986;"2016-04-14";3974;717;0;2194;441;1;492
4445114986;"2016-04-15";7198;711;0;2496;337;2;379
4445114986;"2016-04-16";3945;716;0;2180;462;1;499
4445114986;"2016-04-17";2268;1219;0;1933;98;1;107
4445114986;"2016-04-19";2064;895;0;1954;388;2;424
4445114986;"2016-04-20";2072;841;0;1974;439;1;462
4445114986;"2016-04-21";3809;756;0;2150;436;1;469
4445114986;"2016-04-22";6831;706;0;2432;388;1;417
4445114986;"2016-04-25";3385;916;0;2070;328;1;345
4445114986;"2016-04-26";6326;839;29;2291;353;2;391
4445114986;"2016-04-27";7243;839;32;2361;332;1;374
4445114986;"2016-04-28";4493;762;0;2203;419;1;442
4445114986;"2016-04-29";4676;1106;0;2196;106;1;108
4445114986;"2016-04-30";6222;797;0;2363;322;1;353
4445114986;"2016-05-01";5232;741;0;2246;439;2;459
4445114986;"2016-05-02";6910;667;27;2336;502;1;542
4445114986;"2016-05-03";7502;725;30;2421;417;2;450
4445114986;"2016-05-04";2923;897;0;2070;337;2;363
4445114986;"2016-05-05";3800;734;2;2120;462;2;513
4445114986;"2016-05-06";4514;809;0;2211;374;2;402
4445114986;"2016-05-07";5183;866;26;2123;401;2;436
4445114986;"2016-05-08";7303;733;0;2423;361;1;391
4445114986;"2016-05-09";5275;641;0;2281;457;1;533
4445114986;"2016-05-10";3915;783;0;2181;405;1;426
4445114986;"2016-05-11";9105;622;34;2499;499;1;530
4445114986;"2016-05-12";768;380;0;1212;483;1;501
4558609924;"2016-04-21";13743;844;6;2486;126;1;137
4558609924;"2016-04-26";9148;1062;12;2223;103;1;121
4558609924;"2016-04-29";7833;1096;15;1918;171;1;179
4558609924;"2016-05-01";3428;1121;0;1692;115;1;129
4558609924;"2016-05-08";6543;1019;66;2666;123;1;134
4702921684;"2016-04-12";7213;718;0;2947;425;1;439
4702921684;"2016-04-13";6877;777;0;2898;400;2;430
4702921684;"2016-04-14";7860;772;0;2984;384;1;415
4702921684;"2016-04-15";6506;944;1;2896;253;1;257
4702921684;"2016-04-16";11140;556;3;3328;382;2;406
4702921684;"2016-04-17";12692;437;12;3394;591;1;612
4702921684;"2016-04-18";9105;890;22;3013;293;1;312
4702921684;"2016-04-19";6708;757;10;2812;457;1;487
4702921684;"2016-04-20";8793;717;2;3061;454;1;468
4702921684;"2016-04-21";6530;901;4;2729;425;1;434
4702921684;"2016-04-23";15126;469;9;3691;465;1;475
4702921684;"2016-04-24";15050;542;15;3538;480;1;506
4702921684;"2016-04-25";9167;730;6;3064;370;1;380
4702921684;"2016-04-26";6108;765;1;2784;421;1;429
4702921684;"2016-04-27";7047;733;1;2908;432;1;449
4702921684;"2016-04-28";9023;738;14;3033;442;1;461
4702921684;"2016-04-29";9930;692;12;3165;433;1;447
4702921684;"2016-04-30";10144;728;4;3115;479;1;501
4702921684;"2016-05-03";9454;729;0;3145;327;1;373
4702921684;"2016-05-04";8161;757;4;3004;412;1;434
4702921684;"2016-05-05";8614;745;8;3006;414;1;428
4702921684;"2016-05-06";6943;682;1;2859;404;1;449
4702921684;"2016-05-07";14370;577;5;3683;520;1;543
4702921684;"2016-05-09";8232;746;0;2990;435;1;458
4702921684;"2016-05-10";10613;701;1;3172;416;1;431
4702921684;"2016-05-11";9810;784;10;3069;354;1;366
4702921684;"2016-05-12";2752;241;0;1240;404;1;442
5553957443;"2016-04-12";11596;767;19;2026;441;1;464
5553957443;"2016-04-13";4832;647;0;1718;455;2;488
5553957443;"2016-04-14";17022;693;61;2324;357;1;418
5553957443;"2016-04-15";16556;689;58;2254;377;1;409
5553957443;"2016-04-16";5771;521;0;1831;651;2;686
5553957443;"2016-04-17";655;943;0;1397;350;1;402
5553957443;"2016-04-18";3727;622;0;1683;520;2;541
5553957443;"2016-04-19";15482;756;69;2284;357;1;410
5553957443;"2016-04-20";2713;598;0;1570;658;1;678
5553957443;"2016-04-21";12346;801;47;2066;399;1;431
5553957443;"2016-04-22";11682;781;25;2105;322;1;353
5553957443;"2016-04-23";4112;443;0;1776;631;2;725
5553957443;"2016-04-24";1807;582;0;1507;553;2;640
5553957443;"2016-04-25";10946;732;51;2033;433;1;468
5553957443;"2016-04-26";11886;750;40;2093;412;1;453
5553957443;"2016-04-27";10538;745;16;1922;347;1;391
5553957443;"2016-04-28";11393;727;49;1999;421;1;457
5553957443;"2016-04-29";12764;709;46;2169;450;1;495
5553957443;"2016-04-30";1202;506;0;1463;775;2;843
5553957443;"2016-05-01";5164;436;0;1747;622;2;686
5553957443;"2016-05-02";9769;724;23;1996;409;1;471
5553957443;"2016-05-03";12848;812;26;2116;380;1;429
5553957443;"2016-05-04";4249;651;0;1698;447;1;470
5553957443;"2016-05-05";14331;692;44;2156;419;1;464
5553957443;"2016-05-06";9632;761;21;1916;400;1;434
5553957443;"2016-05-07";1868;902;0;1494;442;1;470
5553957443;"2016-05-08";6083;505;3;1762;568;1;608
5553957443;"2016-05-09";11611;667;59;2272;453;1;494
5553957443;"2016-05-10";16358;707;61;2335;418;1;443
5553957443;"2016-05-11";4926;628;0;1693;463;1;486
5553957443;"2016-05-12";3121;222;8;741;438;1;475
5577150313;"2016-04-12";8135;728;86;3405;419;1;438
5577150313;"2016-04-13";5077;776;15;2551;432;1;458
5577150313;"2016-04-14";8596;662;118;4022;477;1;497
5577150313;"2016-04-15";12087;695;115;4005;392;1;413
5577150313;"2016-04-16";14269;472;184;4274;406;1;445
5577150313;"2016-04-17";12231;525;200;4552;549;1;583
5577150313;"2016-04-18";9893;623;114;3625;527;1;553
5577150313;"2016-04-19";12574;733;108;3501;449;1;465
5577150313;"2016-04-20";8330;773;87;3192;447;1;480
5577150313;"2016-04-21";10830;670;110;4018;414;1;437
5577150313;"2016-04-22";9172;823;62;3329;338;1;366
5577150313;"2016-04-23";7638;627;24;3152;384;1;402
5577150313;"2016-04-24";15764;425;210;4392;543;1;615
5577150313;"2016-04-25";6393;743;61;3374;421;1;461
5577150313;"2016-04-26";5325;759;38;3088;354;1;377
5577150313;"2016-04-27";6805;773;63;3294;424;1;452
5577150313;"2016-04-28";9841;692;99;3580;361;1;372
5577150313;"2016-04-29";7924;739;97;3544;459;1;485
5577150313;"2016-04-30";12363;621;207;4501;412;1;433
5577150313;"2016-05-01";13368;499;194;4546;379;1;398
5577150313;"2016-05-02";7439;732;37;3014;525;2;553
5577150313;"2016-05-03";11045;580;97;3795;508;1;543
5577150313;"2016-05-04";5206;631;25;2755;603;1;634
5577150313;"2016-05-05";7550;1153;45;3004;74;1;78
5577150313;"2016-05-10";8869;639;104;3841;504;1;562
5577150313;"2016-05-11";4038;257;45;1665;431;1;476
6117666160;"2016-04-16";14450;502;7;2828;380;1;398
6117666160;"2016-04-17";7150;702;0;2225;336;2;350
6117666160;"2016-04-18";5153;759;0;2018;493;2;510
6117666160;"2016-04-19";11135;425;0;2606;465;1;492
6117666160;"2016-04-20";10449;587;26;2536;474;1;502
6117666160;"2016-04-21";19542;579;11;4900;508;1;550
6117666160;"2016-04-22";8206;413;0;2409;480;1;546
6117666160;"2016-04-23";11495;468;0;2651;492;1;539
6117666160;"2016-04-24";7623;711;0;2305;353;1;367
6117666160;"2016-04-27";9411;417;0;2576;542;1;557
6117666160;"2016-04-28";3403;758;0;1879;393;1;416
6117666160;"2016-04-29";9592;479;0;2560;600;1;636
6117666160;"2016-05-01";8915;525;0;2361;507;1;575
6117666160;"2016-05-05";9799;479;0;2636;392;1;415
6117666160;"2016-05-06";3365;673;0;1838;658;2;698
6117666160;"2016-05-07";7336;456;0;2469;498;2;507
6117666160;"2016-05-08";7328;517;0;2250;555;1;603
6117666160;"2016-05-09";4477;125;0;1248;492;1;522
6775888955;"2016-04-13";4053;1053;17;2400;235;1;260
6775888955;"2016-04-14";5162;863;14;2507;423;1;441
6775888955;"2016-04-15";1282;976;0;2127;391;1;406
6962181067;"2016-04-12";10199;796;50;1994;366;1;387
6962181067;"2016-04-13";5652;548;8;1718;630;3;679
6962181067;"2016-04-14";1551;862;0;1466;508;2;535
6962181067;"2016-04-15";5563;837;0;1756;370;1;386
6962181067;"2016-04-16";13217;741;50;2173;357;1;366
6962181067;"2016-04-17";10145;634;5;2027;427;1;446
6962181067;"2016-04-18";11404;689;13;2039;442;1;458
6962181067;"2016-04-19";10742;659;35;2046;476;1;535
6962181067;"2016-04-20";13928;639;48;2174;418;1;424
6962181067;"2016-04-21";11835;708;53;2179;451;1;457
6962181067;"2016-04-22";10725;659;30;2086;425;1;435
6962181067;"2016-04-23";20031;484;58;2571;528;1;546
6962181067;"2016-04-24";5029;720;0;1705;511;1;514
6962181067;"2016-04-25";13239;637;35;2194;400;1;415
6962181067;"2016-04-26";10433;680;36;2012;441;1;446
6962181067;"2016-04-27";10320;697;7;2034;455;1;467
6962181067;"2016-04-28";12627;621;38;2182;440;1;453
6962181067;"2016-04-29";10762;645;12;2254;433;1;447
6962181067;"2016-04-30";10081;731;32;2002;422;1;424
6962181067;"2016-05-01";5454;722;0;1740;411;1;426
6962181067;"2016-05-02";12912;655;18;2162;466;1;482
6962181067;"2016-05-03";12109;654;21;2072;394;1;418
6962181067;"2016-05-04";10147;683;15;2086;442;1;455
6962181067;"2016-05-05";10524;591;14;2066;467;1;491
6962181067;"2016-05-06";5908;717;0;1850;443;1;462
6962181067;"2016-05-07";6815;745;0;1947;298;1;334
6962181067;"2016-05-08";4188;709;0;1659;541;1;569
6962181067;"2016-05-09";12342;607;43;2105;489;1;497
6962181067;"2016-05-10";15448;626;62;2361;469;1;481
6962181067;"2016-05-11";6722;709;24;1855;452;1;480
6962181067;"2016-05-12";3587;127;0;928;516;1;535
7007744171;"2016-04-16";4631;1155;0;2076;79;1;82
7007744171;"2016-05-01";5600;1142;0;2225;58;1;61
7086361926;"2016-04-12";11317;745;59;2772;514;1;525
7086361926;"2016-04-13";5813;744;31;2516;451;1;465
7086361926;"2016-04-14";9123;787;35;2734;472;1;476
7086361926;"2016-04-15";8585;864;30;2395;377;1;386
7086361926;"2016-04-19";10688;671;67;2944;472;1;483
7086361926;"2016-04-20";14365;797;87;2997;492;1;502
7086361926;"2016-04-21";9469;758;19;2463;390;1;411
7086361926;"2016-04-22";9753;762;58;2846;428;1;448
7086361926;"2016-04-24";3520;566;0;2049;681;1;704
7086361926;"2016-04-25";10091;706;69;2752;446;1;447
7086361926;"2016-04-26";10387;726;70;2781;485;1;500
7086361926;"2016-04-27";11107;829;55;2693;469;1;479
7086361926;"2016-04-28";11584;810;54;2862;354;1;367
7086361926;"2016-04-30";14560;584;42;2995;485;1;489
7086361926;"2016-05-01";12390;685;30;2730;388;1;407
7086361926;"2016-05-02";10052;737;66;2754;440;1;459
7086361926;"2016-05-03";10288;761;57;2754;456;1;461
7086361926;"2016-05-04";10988;843;45;2655;420;1;436
7086361926;"2016-05-06";12461;834;84;2924;322;1;333
7086361926;"2016-05-07";12827;621;20;2739;530;1;548
7086361926;"2016-05-08";10677;695;32;2534;481;1;510
7086361926;"2016-05-09";13566;743;67;2960;427;1;438
7086361926;"2016-05-11";9572;757;57;2735;451;1;463
7086361926;"2016-05-12";3789;343;5;1199;444;1;457
8053475328;"2016-04-20";15108;695;89;3043;486;1;493
8053475328;"2016-04-23";22359;741;125;3554;331;1;337
8053475328;"2016-05-07";19769;1076;121;3331;74;1;75
8378563200;"2016-04-12";7626;723;65;3635;338;1;356
8378563200;"2016-04-13";12386;680;116;4079;447;2;487
8378563200;"2016-04-14";13318;699;123;4163;424;1;455
8378563200;"2016-04-15";14461;729;60;3666;513;1;533
8378563200;"2016-04-16";11207;563;64;3363;611;2;689
8378563200;"2016-04-17";2132;599;0;2572;525;2;591
8378563200;"2016-04-18";13630;720;117;4157;398;1;451
8378563200;"2016-04-19";13070;737;120;4092;387;1;421
8378563200;"2016-04-20";9388;763;82;3787;381;1;409
8378563200;"2016-04-21";15148;677;137;4236;396;1;417
8378563200;"2016-04-22";12200;769;113;4044;441;1;469
8378563200;"2016-04-23";5709;740;19;2908;565;1;591
8378563200;"2016-04-24";3703;734;0;2741;458;1;492
8378563200;"2016-04-25";12405;692;117;4005;388;1;402
8378563200;"2016-04-26";16208;593;90;3763;550;1;584
8378563200;"2016-04-27";7359;676;4;3061;531;1;600
8378563200;"2016-04-28";5417;711;11;2884;506;1;556
8378563200;"2016-04-29";6175;767;3;2982;527;1;562
8378563200;"2016-04-30";2946;780;0;2660;468;1;555
8378563200;"2016-05-01";11419;669;71;3369;475;1;539
8378563200;"2016-05-02";6064;802;63;3491;351;1;385
8378563200;"2016-05-03";8712;822;71;3784;405;1;429
8378563200;"2016-05-04";7875;680;19;3110;441;1;477
8378563200;"2016-05-05";8567;764;66;3783;381;1;417
8378563200;"2016-05-06";7045;831;74;3644;323;1;355
8378563200;"2016-05-07";4468;851;0;2799;459;2;513
8378563200;"2016-05-08";2943;621;0;2685;545;1;606
8378563200;"2016-05-09";8382;772;71;3721;359;1;399
8378563200;"2016-05-10";6582;840;63;3586;342;1;391
8378563200;"2016-05-11";9143;763;72;3788;368;1;387
8378563200;"2016-05-12";4561;433;8;1976;496;1;546
8792009665;"2016-04-12";2564;831;0;2044;458;1;493
8792009665;"2016-04-13";1320;806;0;1934;531;1;552
8792009665;"2016-04-14";1219;853;0;1963;486;1;503
8792009665;"2016-04-15";2483;937;0;2009;363;1;377
8792009665;"2016-04-20";3147;744;0;2188;528;1;547
8792009665;"2016-04-22";4068;817;1;2419;391;1;407
8792009665;"2016-04-23";5245;795;8;2748;339;1;360
8792009665;"2016-04-27";1758;900;0;2067;423;1;428
8792009665;"2016-04-28";6157;714;0;2780;402;1;416
8792009665;"2016-04-29";8360;634;6;3101;398;1;406
8792009665;"2016-04-30";7174;749;10;2896;343;1;360
8792009665;"2016-05-01";1619;834;0;1962;503;1;527
8792009665;"2016-05-02";1831;916;0;2015;415;1;423
8792009665;"2016-05-03";2421;739;0;2297;516;1;545
8792009665;"2016-05-04";2283;848;0;2067;439;1;463
